,Zip Code,City,County
373,32625,Cedar Key,Levy
374,32626,Chiefland,Levy
375,32627,Gainesville,Alachua
376,32628,Cross City,Dixie
377,32631,Earleton,Alachua
378,32633,Evinston,Alachua
379,32634,Fairfield,Marion
380,32635,Gainesville,Alachua
381,32639,Gulf Hammock,Levy
382,32640,Hawthorne,Alachua
383,32641,Gainesville,Alachua
384,32643,High Springs,Alachua
385,32644,Chiefland,Levy
386,32648,Horseshoe Beach,Dixie
387,32653,Gainesville,Alachua
388,32654,Island Grove,Alachua
389,32655,High Springs,Alachua
390,32656,Keystone Heights,Clay
391,32658,La Crosse,Alachua
392,32662,Lochloosa,Alachua
393,32663,Lowell,Marion
394,32664,Mc Intosh,Marion
395,32666,Melrose,Putnam
396,32667,Micanopy,Alachua
397,32668,Morriston,Levy
398,32669,Newberry,Alachua
399,32680,Old Town,Dixie
400,32681,Orange Lake,Marion
401,32683,Otter Creek,Levy
402,32686,Reddick,Marion
403,32692,Suwannee,Dixie
404,32693,Trenton,Gilchrist
405,32694,Waldo,Alachua
406,32696,Williston,Levy
407,32697,Worthington Springs,Union
408,32701,Altamonte Springs,Seminole
409,32702,Altoona,Lake
410,32703,Apopka,Orange
411,32704,Apopka,Orange
412,32706,Cassadaga,Volusia
413,32707,Casselberry,Seminole
414,32708,Winter Springs,Seminole
415,32709,Christmas,Orange
416,32710,Clarcona,Orange
417,32712,Apopka,Orange
418,32713,Debary,Volusia
419,32714,Altamonte Springs,Seminole
420,32715,Altamonte Springs,Seminole
421,32716,Altamonte Springs,Seminole
422,32718,Casselberry,Seminole
423,32719,Winter Springs,Seminole
424,32720,Deland,Volusia
425,32721,Deland,Volusia
426,32722,Glenwood,Volusia
427,32723,Deland,Volusia
428,32724,Deland,Volusia
429,32725,Deltona,Volusia
430,32726,Eustis,Lake
431,32727,Eustis,Lake
432,32728,Deltona,Volusia
433,32730,Casselberry,Seminole
434,32732,Geneva,Seminole
435,32733,Goldenrod,Seminole
436,32735,Grand Island,Lake
437,32736,Eustis,Lake
438,32738,Deltona,Volusia
439,32739,Deltona,Volusia
440,32744,Lake Helen,Volusia
441,32745,Mid Florida,Seminole
442,32746,Lake Mary,Seminole
443,32747,Lake Monroe,Seminole
444,32750,Longwood,Seminole
445,32751,Maitland,Orange
446,32752,Longwood,Seminole
447,32753,Debary,Volusia
448,32754,Mims,Brevard
449,32756,Mount Dora,Lake
450,32757,Mount Dora,Lake
451,32759,Oak Hill,Volusia
452,32762,Oviedo,Seminole
453,32763,Orange City,Volusia
454,32764,Osteen,Volusia
455,32765,Oviedo,Seminole
456,32766,Oviedo,Seminole
457,32767,Paisley,Lake
458,32768,Plymouth,Orange
459,32771,Sanford,Seminole
460,32772,Sanford,Seminole
461,32773,Sanford,Seminole
462,32774,Orange City,Volusia
463,32775,Scottsmoor,Brevard
